,DBN,School Name,BN,Number of Students_K_G&T,Number of Classes_K_G&T,Average Class Size_K_G&T,Minimum Class Size_K_G&T,Maximum Class Size_K_G&T,Number of Students_K_ICT,Number of Classes_K_ICT,Average Class Size_K_ICT,Minimum Class Size_K_ICT,Maximum Class Size_K_ICT,Number of Students_K_Gen Ed,Number of Classes_K_Gen Ed,Average Class Size_K_Gen Ed,Minimum Class Size_K_Gen Ed,Maximum Class Size_K_Gen Ed,Number of Students_K_ICT & G&T,Number of Classes_K_ICT & G&T,Average Class Size_K_ICT & G&T,Minimum Class Size_K_ICT & G&T,Maximum Class Size_K_ICT & G&T,Number of Students_1_G&T,Number of Classes_1_G&T,Average Class Size_1_G&T,Minimum Class Size_1_G&T,Maximum Class Size_1_G&T,Number of Students_1_ICT,Number of Classes_1_ICT,Average Class Size_1_ICT,Minimum Class Size_1_ICT,Maximum Class Size_1_ICT,Number of Students_1_Gen Ed,Number of Classes_1_Gen Ed,Average Class Size_1_Gen Ed,Minimum Class Size_1_Gen Ed,Maximum Class Size_1_Gen Ed,Number of Students_1_ICT & G&T,Number of Classes_1_ICT & G&T,Average Class Size_1_ICT & G&T,Minimum Class Size_1_ICT & G&T,Maximum Class Size_1_ICT & G&T,Number of Students_2_G&T,Number of Classes_2_G&T,Average Class Size_2_G&T,Minimum Class Size_2_G&T,Maximum Class Size_2_G&T,Number of Students_2_ICT,Number of Classes_2_ICT,Average Class Size_2_ICT,Minimum Class Size_2_ICT,Maximum Class Size_2_ICT,Number of Students_2_Gen Ed,Number of Classes_2_Gen Ed,Average Class Size_2_Gen Ed,Minimum Class Size_2_Gen Ed,Maximum Class Size_2_Gen Ed,Number of Students_2_ICT & G&T,Number of Classes_2_ICT & G&T,Average Class Size_2_ICT & G&T,Minimum Class Size_2_ICT & G&T,Maximum Class Size_2_ICT & G&T,Number of Students_3_G&T,Number of Classes_3_G&T,Average Class Size_3_G&T,Minimum Class Size_3_G&T,Maximum Class Size_3_G&T,Number of Students_3_ICT,Number of Classes_3_ICT,Average Class Size_3_ICT,Minimum Class Size_3_ICT,Maximum Class Size_3_ICT,Number of Students_3_Gen Ed,Number of Classes_3_Gen Ed,Average Class Size_3_Gen Ed,Minimum Class Size_3_Gen Ed,Maximum Class Size_3_Gen Ed,Number of Students_3_ICT & G&T,Number of Classes_3_ICT & G&T,Average Class Size_3_ICT & G&T,Minimum Class Size_3_ICT & G&T,Maximum Class Size_3_ICT & G&T,Number of Students_4_G&T,Number of Classes_4_G&T,Average Class Size_4_G&T,Minimum Class Size_4_G&T,Maximum Class Size_4_G&T,Number of Students_4_ICT,Number of Classes_4_ICT,Average Class Size_4_ICT,Minimum Class Size_4_ICT,Maximum Class Size_4_ICT,Number of Students_4_Gen Ed,Number of Classes_4_Gen Ed,Average Class Size_4_Gen Ed,Minimum Class Size_4_Gen Ed,Maximum Class Size_4_Gen Ed,Number of Students_4_ICT & G&T,Number of Classes_4_ICT & G&T,Average Class Size_4_ICT & G&T,Minimum Class Size_4_ICT & G&T,Maximum Class Size_4_ICT & G&T,Number of Students_5_G&T,Number of Classes_5_G&T,Average Class Size_5_G&T,Minimum Class Size_5_G&T,Maximum Class Size_5_G&T,Number of Students_5_ICT,Number of Classes_5_ICT,Average Class Size_5_ICT,Minimum Class Size_5_ICT,Maximum Class Size_5_ICT,Number of Students_5_Gen Ed,Number of Classes_5_Gen Ed,Average Class Size_5_Gen Ed,Minimum Class Size_5_Gen Ed,Maximum Class Size_5_Gen Ed,Number of Students_5_ICT & G&T,Number of Classes_5_ICT & G&T,Average Class Size_5_ICT & G&T,Minimum Class Size_5_ICT & G&T,Maximum Class Size_5_ICT & G&T,Number of Students_6_ICT,Number of Classes_6_ICT,Average Class Size_6_ICT,Minimum Class Size_6_ICT,Maximum Class Size_6_ICT,Number of Students_6_Gen Ed,Number of Classes_6_Gen Ed,Average Class Size_6_Gen Ed,Minimum Class Size_6_Gen Ed,Maximum Class Size_6_Gen Ed,Number of Students_7_ICT,Number of Classes_7_ICT,Average Class Size_7_ICT,Minimum Class Size_7_ICT,Maximum Class Size_7_ICT,Number of Students_7_Gen Ed,Number of Classes_7_Gen Ed,Average Class Size_7_Gen Ed,Minimum Class Size_7_Gen Ed,Maximum Class Size_7_Gen Ed,Number of Students_8_ICT,Number of Classes_8_ICT,Average Class Size_8_ICT,Minimum Class Size_8_ICT,Maximum Class Size_8_ICT,Number of Students_8_Gen Ed,Number of Classes_8_Gen Ed,Average Class Size_8_Gen Ed,Minimum Class Size_8_Gen Ed,Maximum Class Size_8_Gen Ed,Number of Students_K-8 SC_SC 12:1:1,Number of Classes_K-8 SC_SC 12:1:1,Average Class Size_K-8 SC_SC 12:1:1,Minimum Class Size_K-8 SC_SC 12:1:1,Maximum Class Size_K-8 SC_SC 12:1:1,Number of Students_K-8 SC_SC 12:1,Number of Classes_K-8 SC_SC 12:1,Average Class Size_K-8 SC_SC 12:1,Minimum Class Size_K-8 SC_SC 12:1,Maximum Class Size_K-8 SC_SC 12:1,Number of Students_K-8 SC_SC 6:1:1,Number of Classes_K-8 SC_SC 6:1:1,Average Class Size_K-8 SC_SC 6:1:1,Minimum Class Size_K-8 SC_SC 6:1:1,Maximum Class Size_K-8 SC_SC 6:1:1,Number of Students_K-8 SC_SC 8:1:1,Number of Classes_K-8 SC_SC 8:1:1,Average Class Size_K-8 SC_SC 8:1:1,Minimum Class Size_K-8 SC_SC 8:1:1,Maximum Class Size_K-8 SC_SC 8:1:1,Number of Students_K-8 SC_SC 15:1,Number of Classes_K-8 SC_SC 15:1,Average Class Size_K-8 SC_SC 15:1,Minimum Class Size_K-8 SC_SC 15:1,Maximum Class Size_K-8 SC_SC 15:1
14,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,M332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,3,20.33333,17,26,,,,,,57,2,28.5,28,29,,,,,,60,2,30,28,32,,,,,,22,2,11,11,11,,,,,,,,,,,,,,,,,,,,
15,01M361,THE CHILDREN'S WORKSHOP SCHOOL,M361,,,,,,19,1,19,19,19,37,2,18.5,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,23,22,24,,,,,,,,,,,,,,,,35,2,17.5,17,18,,,,,,,,,,,,,,,,32,1,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01M363,NEIGHBORHOOD SCHOOL,M363,,,,,,19,1,19,19,19,37,3,12.33333,<15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,25,25,25,25,1,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01M364,EARTH SCHOOL,M364,,,,,,20,1,20,20,20,42,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,27.5,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,01M378,SCHOOL FOR GLOBAL LEADERS,M378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,16,15,17,25,2,12.5,<15,15,39,2,19.5,18,21,36,2,18,15,21,62,3,20.66666,19,23,23,1,23,23,23,23,2,11.5,11,12,13,1,13,13,13,,,,,,,,,,,,,,,
19,01M450,EAST SIDE COMMUNITY SCHOOL,M450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,8,12.375,<15,<15,,,,,,97,8,12.125,<15,15,,,,,,91,7,13,<15,15,,,,,,2,1,2,<6,<6,,,,,,,,,,,,,,,,,,,,
20,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",M539,100,4,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,4,29,29,29,60,2,30,29,31,,,,,,,,,,,89,3,29.66666,28,31,,,,,,,,,,,,,,,,122,4,30.5,29,31,,,,,,,,,,,,,,,,116,4,29,27,30,,,,,,,,,,,,,,,,112,4,28,27,29,152,5,30.4,30,31,,,,,,149,5,29.8,29,30,,,,,,136,5,27.2,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,M839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,3,31.66666,31,32,30,1,30,30,30,91,3,30.33333,29,32,31,1,31,31,31,94,3,31.33333,30,33,32,1,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,
22,02M001,PS 001 ALFRED E SMITH,M001,,,,,,16,1,16,16,16,28,2,14,<15,<15,,,,,,,,,,,,,,,,47,3,15.66666,<15,17,,,,,,,,,,,18,1,18,18,18,21,1,21,21,21,,,,,,,,,,,27,1,27,27,27,20,1,20,20,20,,,,,,,,,,,29,1,29,29,29,26,1,26,26,26,,,,,,,,,,,18,1,18,18,18,33,2,16.5,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,11,11,11,,,,,,,,,,,,,,,,,,,,
23,02M002,PS 002 MEYER LONDON,M002,,,,,,43,2,21.5,21,22,43,2,21.5,21,22,,,,,,,,,,,21,1,21,21,21,37,2,18.5,18,19,,,,,,,,,,,24,1,24,24,24,47,2,23.5,23,24,,,,,,,,,,,26,1,26,26,26,50,2,25,24,26,,,,,,,,,,,21,1,21,21,21,67,3,22.33333,21,24,,,,,,,,,,,52,2,26,25,27,65,3,21.66666,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,8,<6,11,,,,,,,,,,,,,,,,,,,,
24,02M003,PS 003 CHARRETTE SCHOOL,M003,,,,,,,,,,,126,5,25.2,25,26,,,,,,,,,,,56,2,28,28,28,78,3,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2,33,33,33,32,1,32,32,32,,,,,,,,,,,30,1,30,30,30,65,2,32.5,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,<6,<6,,,,,,,,,,,,,,,,,,,,
25,02M006,PS 006 LILLIE D BLAKE,M006,,,,,,25,1,25,25,25,75,3,25,25,25,,,,,,,,,,,,,,,,105,4,26.25,26,27,,,,,,,,,,,30,1,30,30,30,63,2,31.5,31,32,,,,,,,,,,,32,1,32,32,32,65,2,32.5,32,33,,,,,,,,,,,26,1,26,26,26,80,3,26.66666,26,27,,,,,,,,,,,28,1,28,28,28,87,3,29,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,02M011,PS 011 WILLIAM T HARRIS,M011,48,2,24,23,25,23,1,23,23,23,69,3,23,23,23,,,,,,64,2,32,32,32,24,1,24,24,24,67,3,22.33333,22,23,,,,,,64,2,32,32,32,23,1,23,23,23,59,3,19.66666,18,22,,,,,,64,2,32,32,32,25,1,25,25,25,42,2,21,21,21,,,,,,56,2,28,28,28,26,1,26,26,26,68,3,22.66666,22,24,,,,,,92,3,30.66666,29,32,30,1,30,30,30,61,2,30.5,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,02M033,PS 033 CHELSEA PREP,M033,47,2,23.5,23,24,,,,,,46,2,23,23,23,,,,,,53,2,26.5,26,27,20,1,20,20,20,21,1,21,21,21,,,,,,55,2,27.5,27,28,36,2,18,18,18,,,,,,,,,,,55,2,27.5,27,28,62,2,31,30,32,,,,,,,,,,,55,2,27.5,27,28,23,1,23,23,23,,,,,,,,,,,54,2,27,26,28,30,1,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,13.5,13,14,,,,,,,,,,,,,,,
28,02M040,PS 040 AUGUSTUS SAINT-GAUDENS,M040,,,,,,26,1,26,26,26,102,4,25.5,25,26,,,,,,,,,,,25,1,25,25,25,99,4,24.75,24,25,,,,,,,,,,,32,1,32,32,32,64,2,32,32,32,,,,,,,,,,,32,1,32,32,32,64,2,32,32,32,,,,,,,,,,,32,1,32,32,32,65,2,32.5,32,33,,,,,,,,,,,32,1,32,32,32,64,2,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,02M041,PS 041 GREENWICH VILLAGE,M041,,,,,,25,1,25,25,25,94,4,23.5,22,24,,,,,,,,,,,25,1,25,25,25,75,3,25,25,25,,,,,,,,,,,30,1,30,30,30,89,3,29.66666,29,31,,,,,,,,,,,32,1,32,32,32,58,2,29,28,30,,,,,,,,,,,31,1,31,31,31,92,3,30.66666,30,31,,,,,,,,,,,30,1,30,30,30,77,3,25.66666,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02M042,PS 042 BENJAMIN ALTMAN,M042,,,,,,48,2,24,23,25,63,3,21,18,24,,,,,,,,,,,48,2,24,24,24,51,2,25.5,25,26,,,,,,,,,,,47,2,23.5,20,27,48,2,24,22,26,,,,,,,,,,,46,2,23,21,25,44,2,22,21,23,,,,,,,,,,,28,1,28,28,28,51,2,25.5,25,26,,,,,,,,,,,29,1,29,29,29,91,3,30.33333,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
