,index,MasterIndex,DBN,SCHNAM,Latitude,Longitude,Borough
72,74,351,11X135,FRANK D. WHALEN - M.S. #135,Missing,Missing,Bronx
73,75,361,11X416,CHRISTOPHER COLUMBUS GED,Missing,Missing,Bronx
74,76,362,11X425,EVANDER CHILDS HIGH SCHOOL,40.87528,-73.86222,Bronx
75,77,363,11X426,EVANDER CHILDS GED,Missing,Missing,Bronx
76,78,373,12X077,PS 077,Missing,Missing,Bronx
77,79,377,12X116,RAFAEL HERNANDEZ - I.S. # 116,Missing,Missing,Bronx
78,80,381,12X158,TR GATHINGS IS158,Missing,Missing,Bronx
79,81,382,12X193,WHITNEY M. YOUNG JR.,Missing,Missing,Bronx
80,82,384,12X200,MS 200,Missing,Missing,Bronx
81,83,388,12X234,LITTLE PEOPLE SCHOOL-P.S.#234,Missing,Missing,Bronx
82,84,389,12X400,MORRIS HIGH SCHOOL,40.8271089,-73.9041939,Bronx
83,85,391,12X680,BRONX COALITION COMM SCHL FOR,Missing,Missing,Bronx
84,86,406,13K117,FRANCIS SCOTT KEY - JHS #117,Missing,Missing,Brooklyn
85,87,409,13K258,DAVID RUGGLES - JHS #258,Missing,Missing,Brooklyn
86,88,428,14K033,MARK HOPKINS INTERMEDIATE SCHO,Missing,Missing,Brooklyn
87,89,430,14K049,WILLIAM J. GAYNOR - I.S. #49,Missing,Missing,Brooklyn
88,90,449,14K640,HARRY VAN ARSDALE HIGH SCHOOL,40.7155675,-73.95482297769,Brooklyn
89,91,454,15K027,AGNES Y. HUMPHREY,Missing,Missing,Brooklyn
90,92,468,15K142,STRANAHAN IS (RENAMED 378),Missing,Missing,Brooklyn
91,93,475,15K293,NATHAN HALE I.S. #293,Missing,Missing,Brooklyn
92,94,491,16K304,CASIMIR PULASKI PREP/ART & SCI,Missing,Missing,Brooklyn
93,95,494,16K324,SARAH GARNETT JHS #324,Missing,Missing,Brooklyn
94,96,515,17K320,JACKIE ROBINSON,40.6802024,-73.9276760424019,Brooklyn
95,97,517,17K390,MAGGIE L. WALKER - I.S. #390,Missing,Missing,Brooklyn
96,98,518,17K391,MAHALIA JACKSON IS391,Missing,Missing,Brooklyn
97,99,523,17K440,PROSPECT HEIGHTS HIGH SCHOOL,Missing,Missing,Brooklyn
98,100,524,17K459,ERASMUS SCIENCE AND MATH,Missing,Missing,Brooklyn
99,101,525,17K469,ERASMUS ACADEMY OF HUMANITIES,Missing,Missing,Brooklyn
100,102,526,17K470,GEORGE W. WINGATE HIGH SCHOOL,40.65836875,-73.9435907684614,Brooklyn
101,103,527,17K479,ERASMUS ACADEMY OF BUS/TECH,Missing,Missing,Brooklyn
102,104,535,18K173,PRIMARY ACADEMY,40.6872308,-73.9757452,Brooklyn
103,105,539,18K232,WINTHROP - I.S. #232,Missing,Missing,Brooklyn
104,106,543,18K252,ARTHUR SOMERS - I.S. #252,Missing,Missing,Brooklyn
105,107,549,18K415,SAMUEL J. TILDEN HIGH SCHOOL,40.64809735,-73.9219385525882,Brooklyn
106,108,550,18K500,CANARSIE HIGH SCHOOL,40.6404146,-73.8989398366601,Brooklyn
107,109,551,18K515,SOUTH SHORE HIGH SCHOOL,40.6336432,-73.9175544,Brooklyn
108,110,555,19K072,ANNETTE P. GOLDMAN,Missing,Missing,Brooklyn
109,111,581,19K421,FRANKLIN K. LANE GED,Missing,Missing,Brooklyn
110,112,582,19K435,THOMAS JEFFERSON HIGH SCHOOL,40.6669096,-73.8951367397336,Brooklyn
111,113,613,20K314,LUIS MUNOZ MARIN SCHOOL,Missing,Missing,Brooklyn
112,114,617,20K491,FORT HAMILTON GED,Missing,Missing,Brooklyn
113,115,619,21K043,JAMES J. REYNOLDS I.S. #43,Missing,Missing,Brooklyn
114,116,647,21K400,LAFAYETTE HIGH SCHOOL,40.59304285,-73.9863169528368,Brooklyn
115,117,685,22K585,BROOKLYN NIGHT SCHOOL,Missing,Missing,Brooklyn
116,118,687,23K055,OCEANHILL-BROWNSVILLE I.S. #55,Missing,Missing,Brooklyn
117,119,695,23K183,"GEN. D.""CHAPPIE"" JAMES-PS #183",Missing,Missing,Brooklyn
118,120,697,23K263,ESTHER CLARKE HUNTER I.S. #263,Missing,Missing,Brooklyn
119,121,698,23K271,JOHN M. COLEMAN - I.S. #271,Missing,Missing,Brooklyn
120,122,699,23K275,THELMA J. HAMILTON I.S. 275,Missing,Missing,Brooklyn
121,123,704,23K645,EBC HS FOR PUBLIC SAFETY & LAW,Missing,Missing,Brooklyn
122,124,752,25Q168,PARSONS - J.H.S. #168,Missing,Missing,Queens
123,125,822,27Q180,GERALD R. DEVER MIDDLE SCHOOL,Missing,Missing,Queens
124,126,825,27Q198,BENJAMIN N. CARDOZO - MS198,Missing,Missing,Queens
125,127,831,27Q225,SEASIDE SCHOOL,40.5831606,-73.82819,Queens
126,128,836,27Q465,FAR ROCKAWAY HIGH SCHOOL,40.6018305,-73.7635912,Queens
127,129,900,29Q420,SPRINGFIELD GARDENS H.S.,Missing,Missing,Queens
128,130,933,30Q675,RENAISSANCE SCHOOL,Missing,Missing,Queens
129,131,995,32K111,ENRICO FERMI LEARNING LAB,Missing,Missing,Brooklyn
130,132,1005,32K300,ROSA T. WEATHERLESS ALT.SCHOOL,Missing,Missing,Brooklyn
131,133,1010,32K480,BUSHWICK HIGH SCHOOL,40.6971081,-73.9116987,Brooklyn
132,134,1012,33K333,BEGINNING WITH CHILDREN SCHOOL,Missing,Missing,Brooklyn
133,135,1013,33M670,THURGOOD MARSHALL ACADEMY,Missing,Missing,Manhattan
134,136,1014,33Q227,LOUIS ARMSTRONG,40.75488305,-73.8554632637909,Queens
135,137,1015,71M405,DISTRICT 2 COLLABORATIVES,Missing,Missing,Manhattan
136,138,1016,71M446,SEWARD PARK GED,Missing,Missing,Manhattan
137,139,1017,71M450,EAST SIDE COMMUNITY HIGH SCHOO,Missing,Missing,Manhattan
138,140,1018,71M480,JULIA RICHMAN,Missing,Missing,Manhattan
139,141,1019,71M491,M. L. KING JR. GED,Missing,Missing,Manhattan
140,142,1020,71M499,FREDERICK DOUGLASS ACADEMY,40.8238576,-73.9359461,Manhattan
141,143,1021,71M509,CMSP CHANCELLOR'S MODEL SCHOOL,Missing,Missing,Manhattan
142,144,1022,71M536,PARK WEST GED,Missing,Missing,Manhattan
143,145,1023,71M675,LEADERSHIP SECONDARY SCHOOL,Missing,Missing,Manhattan
144,146,1024,72X420,JAMES MONROE,40.8229687,-73.8651935464585,Bronx
145,147,1025,72X421,JAMES MONROE GED,Missing,Missing,Bronx
146,148,1026,72X436,THEODORE ROOSEVELT ATS CONTACT,Missing,Missing,Bronx
147,149,1027,72X520,FOREIGN LANGUAGE ACADEMY,Missing,Missing,Bronx
148,150,1028,72X675,LOCAL 1199 SCHOOL FOR SOCIAL C,Missing,Missing,Bronx
149,151,1029,73K426,JAMES MADISON GED,Missing,Missing,Brooklyn
150,152,1030,73K436,THOMAS JEFFERSON GED,Missing,Missing,Brooklyn
151,153,1031,73K441,PROSPECT HEIGHTS GED,Missing,Missing,Brooklyn
152,154,1032,73K471,GEORGE W. WINGATE GED,Missing,Missing,Brooklyn
153,155,1033,73K481,BUSHWICK GED,Missing,Missing,Brooklyn
154,156,1034,73K541,JOHN DEWEY GED,Missing,Missing,Brooklyn
155,157,1035,73K670,BENJAMIN BANNEKER ACADEMY,Missing,Missing,Brooklyn
156,158,1036,74K655,SARAH J. HALE HIGH SCHOOL,40.6838155,-73.9803098,Brooklyn
157,159,1037,74M465,GEORGE WASHINGTON HIGH SCHOOL,40.8555093,-73.9262634470974,Manhattan
158,160,1052,75K403,HOSPITAL INSTRUCTION,Missing,Missing,Brooklyn
159,161,1057,75M047,"""47"" THE AMERICAN SIGN LANGUAG",Missing,Missing,Manhattan
160,162,1058,75M053,P053 - ST AGATHA SCHOOL,Missing,Missing,Manhattan
161,163,1059,75M058,P058M - MANHATTAN SCHOOL,Missing,Missing,Manhattan
162,164,1062,75M106,P106M @ BELLEVUE HOSPITAL CENT,Missing,Missing,Manhattan
163,165,1064,75M162,P162M @ P149M,Missing,Missing,Manhattan
164,166,1069,75M723,P723M @ ST. AGATHA'S SCHOOL,Missing,Missing,Manhattan
165,167,1076,75Q093,UNKNOWN,40.7595738,-73.960551,Queens
166,170,1100,76K429,THE BROOKLYN SCHOOL FOR GLOBAL,Missing,Missing,Brooklyn
167,171,1101,76K460,JOHN JAY HIGH SCHOOL,40.6692701,-73.9787499,Brooklyn
168,172,1102,76K475,EASTERN DISTRICT HIGH SCHOOL,40.70655325,-73.956877,Brooklyn
169,173,1103,76K621,WILLIAM E. GRADY GED,Missing,Missing,Brooklyn
170,174,1104,77Q490,ANDREW JACKSON,40.7500407,-73.8957335952345,Queens
171,175,1105,77Q670,ROBERT F. KENNEDY COMMUNITY HS,40.7253677,-73.8113519953125,Queens
172,177,1107,77Q680,QUEENS GATEWAY TO HEALTH SCIEN,Missing,Missing,Queens
173,178,1108,79K409,EAST NEW YORK FAMILY ACADEMY,Missing,Missing,Brooklyn
174,179,1109,79K510,AUX SERVICES (BROOKLYN),Missing,Missing,Brooklyn
175,180,1110,79K511,BEDFORD STUYVESANT OUTREACH,Missing,Missing,Brooklyn
176,181,1111,79K512,BUSHWICK OUTREACH,Missing,Missing,Brooklyn
177,182,1112,79K565,HIGH SCHOOL REDIRECTION,Missing,Missing,Brooklyn
178,183,1113,79K573,BROOKLYN BOROUGH ACADEMY,Missing,Missing,Brooklyn
179,184,1114,79K580,BROOKLYN LITERACY CENTER,Missing,Missing,Brooklyn
180,185,1115,79K591,BROOKLYN OFF-SITE ED SERVICES,Missing,Missing,Brooklyn
181,186,1116,79K665,NYC VOCATIONAL TRAINING CENTER,Missing,Missing,Brooklyn
182,187,1117,79K931,TEEN AID HIGH SCHOOL,Missing,Missing,Brooklyn
183,188,1118,79K932,COMMUNITY SCHL FOR CONT ED,Missing,Missing,Brooklyn
184,189,1119,79M469,CHOIR ACADEMY OF HARLEM,40.8069444,-73.9388889,Manhattan
185,190,1120,79M479,BEACON SCHOOL,40.77260785,-73.9883345432726,Manhattan
186,191,1121,79M500,UNITY HIGH SCHOOL,Missing,Missing,Manhattan
187,192,1122,79M501,WEST MANHATTAN OUTREACH,Missing,Missing,Manhattan
188,193,1123,79M502,LOWER MANHATTAN OUTREACH,Missing,Missing,Manhattan
189,194,1124,79M510,AUX SERVICES (MANHATTAN),Missing,Missing,Manhattan
190,195,1125,79M530,PROJECT BLEND,Missing,Missing,Manhattan
191,196,1126,79M573,MANHATTAN BOROUGH ACADEMY,Missing,Missing,Manhattan
192,197,1127,79M585,CAREER EDUCATION CENTER,Missing,Missing,Manhattan
193,198,1128,79M590,PROJECT YOU,40.7474345,-73.971494,Manhattan
194,199,1129,79M591,MANHATTAN OFF-SITE ED SERVICES,Missing,Missing,Manhattan
195,200,1130,79M595,OUT-OF-CITY OFF-SITE ED SERVIC,Missing,Missing,Manhattan
196,201,1131,79M690,SCHOOL FOR THE PHYSICAL CITY,Missing,Missing,Manhattan
197,202,1132,79M695,URBAN PEACE ACADEMY,Missing,Missing,Manhattan
198,203,1133,79M911,CENTER FOR CONTINUED EDUCATION,Missing,Missing,Manhattan
199,204,1134,79Q510,AUX SERVICES (QUEENS),Missing,Missing,Queens
200,205,1135,79Q516,QUEENS OUTREACH ACADEMY,Missing,Missing,Queens
201,206,1136,79Q520,MIDDLE COLLEGE HS @ LAGUARDIA,Missing,Missing,Queens
202,207,1137,79Q530,INTERNATIONAL HS AT LA GUARDIA,Missing,Missing,Queens
203,208,1138,79Q535,ISLAND ACADEMY,Missing,Missing,Queens
204,209,1139,79Q545,ROSEWOOD HIGH SCHOOL,Missing,Missing,Queens
205,210,1140,79Q591,QUEENS OFF-SITE ED SERVICES,Missing,Missing,Queens
206,211,1141,79Q596,RIKERS ISLAND EDUCATIONAL FACI,Missing,Missing,Queens
207,212,1142,79Q941,IDA B. WELLS SCHOOL,Missing,Missing,Queens
208,213,1143,79R510,AUX SERVICES (RICHMOND),Missing,Missing,Staten Island
209,214,1144,79R591,RICHMOND OFF-SITE ED SERVICES,Missing,Missing,Staten Island
210,215,1145,79X490,PHOENIX ACADEMY HIGH SCHOOL,Missing,Missing,Bronx
211,216,1146,79X506,BRONX OUTREACH,Missing,Missing,Bronx
212,217,1147,79X510,AUX SERVICES (BRONX),Missing,Missing,Bronx
213,218,1148,79X573,BRONX BOROUGH ACADEMY,Missing,Missing,Bronx
214,219,1149,79X580,BRONX LITERACY CENTER,Missing,Missing,Bronx
215,220,1150,79X591,BRONX OFF-SITE ED SERVICES,Missing,Missing,Bronx
216,221,1151,79X690,MONROE ACADEMY BUSINESS & LAW,Missing,Missing,Bronx
217,222,1152,79X692,MONROE ACADEMY VISUAL ARTS/DES,Missing,Missing,Bronx
218,223,1153,79X921,MARTHA NEILSON SCHOOL,Missing,Missing,Bronx
219,224,1156,06M120,PS 120,Missing,Missing,Manhattan
220,225,1157,06M176,W. HAYWOOD BURNS SCHOOL #176,Missing,Missing,Manhattan
221,226,1161,12X401,MORRIS GED,Missing,Missing,Bronx
222,227,1166,16K310,W.E.DUBOIS MAGNET SCHOOL,Missing,Missing,Brooklyn
223,228,1169,21K280,BROOKLYN STUDIO SECONDARY SCH.,Missing,Missing,Brooklyn
224,229,1174,33M225,ELLA BAKER SCHOOL,40.7653352,-73.9597364,Manhattan
225,230,1175,71M461,WASHINGTON IRVING GED,Missing,Missing,Manhattan
226,231,1176,71M466,GEORGE WASHINGTON GED,Missing,Missing,Manhattan
227,232,1177,72X411,WILLIAM H. TAFT GED,Missing,Missing,Bronx
228,233,1178,74K474,PROGRESS HIGH SCHOOL,40.7116685,-73.9391912,Brooklyn
229,234,1179,74K477,HIGH SCHOOL OF LEGAL STUDIES,40.7107448,-73.9389063016115,Brooklyn
230,235,1180,74K478,"HS OF ENTERPRISE, BUSINESS & T",40.7118943,-73.9391759,Brooklyn
231,236,1183,76K461,JOHN JAY GED,Missing,Missing,Brooklyn
232,237,1184,76K476,EASTERN DISTRICT GED,Missing,Missing,Brooklyn
233,238,1185,85K057,RON BROWN ACADEMY,Missing,Missing,Brooklyn
234,242,1189,01M304,NEW YORK SETTLEMENT SCHOOL,Missing,Missing,Manhattan
235,243,1190,01M370,THE LEARNING PROJECT,Missing,Missing,Manhattan
236,244,1206,10X321,MS 321,Missing,Missing,Bronx
237,245,1207,10X330,PS/MS 330,Missing,Missing,Bronx
238,246,1208,10X476,JOHN F. KENNEDY GED,Missing,Missing,Bronx
239,247,1220,72X670,HEALTH OPPORTUNITIES HS,Missing,Missing,Bronx
240,248,1221,73K690,BROOKLYN STUDIO SECONDARY SCHO,Missing,Missing,Brooklyn
241,249,1223,76K473,CHANEY GOODMAN & SCHWERNER HS,Missing,Missing,Brooklyn
242,250,1224,79X607,SECOND OPPORTUNITY SCHOOL,Missing,Missing,Bronx
243,251,1225,85K263,ESTHER CLARKE HUNTER JHS #263,Missing,Missing,Brooklyn
244,252,1226,85Q008,RICHARD GROSSLEY - I.S. #8,Missing,Missing,Queens
245,253,1227,85X074,HUNTS POINT MS FOR LAW & ENGIN,Missing,Missing,Bronx
246,254,1229,01M700,D01-CBO SCHOOL,Missing,Missing,Manhattan
247,255,1232,02M700,D02 UPK CBO SCHOOLS,Missing,Missing,Manhattan
248,256,1233,03M700,D03-CBO SCHOOL,Missing,Missing,Manhattan
249,257,1234,04M700,D04-CBO SCHOOL,Missing,Missing,Manhattan
250,258,1235,05M700,D05-CBO SCHOOL,Missing,Missing,Manhattan
251,259,1236,06M700,D06-CBO SCHOOL,Missing,Missing,Manhattan
252,260,1237,07X700,D07-CBO SCHOOL,Missing,Missing,Bronx
253,261,1238,08X700,D08-CBO SCHOOL,Missing,Missing,Bronx
254,262,1239,09X700,D09-CBO SCHOOL,Missing,Missing,Bronx
255,263,1240,10X700,D10-CBO SCHOOL,Missing,Missing,Bronx
256,264,1241,11X700,D11-CBO SCHOOL,Missing,Missing,Bronx
257,265,1244,12X197,PS 197,Missing,Missing,Bronx
258,266,1245,12X700,D12-CBO SCHOOL,Missing,Missing,Bronx
259,267,1246,13K700,D13-CBO SCHOOL,Missing,Missing,Brooklyn
260,268,1247,14K700,D14-CBO SCHOOL,Missing,Missing,Brooklyn
261,269,1249,15K700,D15-CBO SCHOOL,Missing,Missing,Brooklyn
262,270,1250,16K700,D16-CBO SCHOOL,Missing,Missing,Brooklyn
263,271,1251,17K700,D17-CBO SCHOOL,Missing,Missing,Brooklyn
264,272,1252,18K700,D18-CBO SCHOOL,Missing,Missing,Brooklyn
265,273,1253,19K700,D19-CBO UNIVERSAL PRE-K SCHOOL,Missing,Missing,Brooklyn
266,274,1254,20K700,D20-CBO SCHOOL,Missing,Missing,Brooklyn
267,275,1255,21K700,D21-CBO SCHOOL,Missing,Missing,Brooklyn
268,276,1256,22K700,CSD 22,Missing,Missing,Brooklyn
269,277,1257,23K700,CSD 23 CBO SCHOOLS,Missing,Missing,Brooklyn
270,278,1258,24Q457,YABC @HS FOR ARTS & BUSINESS,Missing,Missing,Queens
271,279,1259,24Q700,D24-CBO SCHOOL,Missing,Missing,Queens
272,280,1260,25Q700,D25-CBO SCHOOL,Missing,Missing,Queens
273,281,1261,26Q700,D26-CBO SCHOOL,Missing,Missing,Queens
274,282,1262,27Q700,D27-CBO SCHOOL,Missing,Missing,Queens
275,283,1263,28Q700,D28-CBO SCHOOL,Missing,Missing,Queens
276,284,1264,29Q700,D29-CBO SCHOOL,Missing,Missing,Queens
277,285,1265,30Q700,D30-CBO SCHOOL,Missing,Missing,Queens
278,286,1267,31R700,D31-CBO SCHOOL,Missing,Missing,Staten Island
279,287,1268,32K700,D32-CBO SCHOOL,Missing,Missing,Brooklyn
280,288,1269,76K641,HARRY VAN ARSDALE GED,Missing,Missing,Brooklyn
281,289,1270,79Q565,HORIZONS HIGH SCHOOL,Missing,Missing,Queens
282,290,1271,79X695,PASSAGES ACADEMY,Missing,Missing,Bronx
284,293,1282,03M244,THE COLUMBUS MIDDLE SCHOOL,Missing,Missing,Manhattan
285,294,1284,03M246,THE CROSSROADS SCHOOL,Missing,Missing,Manhattan
286,295,1286,03M248,HORIZONS MIDDLE SCHOOL,Missing,Missing,Manhattan
287,300,1300,07X220,MOTT HAVEN VILLAGE SCHOOL,Missing,Missing,Bronx
288,301,1301,07X222,MIDDLE SCHOOL 222,Missing,Missing,Bronx
289,305,1320,10X399,MS 399,Missing,Missing,Bronx
290,307,1323,11X417,C COLUMBUS YABC,Missing,Missing,Bronx
291,315,1332,16K143,PERFORMING & FINE ARTS SCHOOL,Missing,Missing,Brooklyn
292,334,1359,71M457,YOUNG ADULT BOROUGH CENTER,Missing,Missing,Manhattan
293,335,1360,73K597,BROOKLYN ACADEMY CONTINUIUM,Missing,Missing,Brooklyn
294,336,1361,76K472,WILLIAMSBURG PREPARATORY ACAD,Missing,Missing,Brooklyn
295,337,1362,79M647,PARK EAST/YOUNG ADULTS BORO CN,Missing,Missing,Manhattan
296,338,1363,85K005,PS 005,Missing,Missing,Brooklyn
297,339,1364,85K035,DECATUR CLEARPOOL - PS/IS #35,Missing,Missing,Brooklyn
298,340,1365,85K075,MAYDA CORTIELLA SCHOOL,Missing,Missing,Brooklyn
299,341,1366,85K092,ADRIAN HEGEMAN PS92,Missing,Missing,Brooklyn
300,342,1367,85K243,WEEKSVILLE SCHOOL - P.S. 243,Missing,Missing,Brooklyn
301,343,1368,85K320,JACKIE ROBINSON  - M.S. #320,Missing,Missing,Brooklyn
302,344,1369,85K324,SARAH GARNETT - JHS #324,Missing,Missing,Brooklyn
303,346,1371,85M064,ROBERT SIMON,Missing,Missing,Manhattan
304,347,1372,85M096,JOSEPH C. LANZETTA,Missing,Missing,Manhattan
305,348,1373,85Q105,THE BAY SCHOOL,Missing,Missing,Queens
306,349,1374,85X003,PS 3,40.8501002,-73.8662464,Bronx
307,350,1375,85X052,LUISA DESSUS CRUZ SCHOOL,Missing,Missing,Bronx
308,351,1376,85X059,THE COMMUNITY SCHOOL PS59,Missing,Missing,Bronx
309,352,1377,85X082,ALEXANDER MACOMBS CIS82,Missing,Missing,Bronx
310,353,1378,85X085,PS 85,Missing,Missing,Bronx
311,354,1379,85X091,PS 91,Missing,Missing,Bronx
312,356,1387,08X201,"THEATER, ARTS & RESEARCH(STAR)",Missing,Missing,Bronx
313,357,1392,21K526,EDWARD R. MURROW GED,Missing,Missing,Brooklyn
314,358,1394,28Q347,SCHOOL OF COMMUNICATION STUDIE,Missing,Missing,Queens
315,359,1398,74M415,WADLEIGH SECONDARY SCHOOL,Missing,Missing,Manhattan
316,361,1401,79Q572,EIGHT PLUS LEARNING ACADEMIES,Missing,Missing,Queens
317,363,1409,03M577,BRANDEIS YABC,Missing,Missing,Manhattan
318,364,1412,05M172,I.S. #172,Missing,Missing,Manhattan
319,365,1421,15K378,THE CARROLL GARDENS SCHOOL,40.6784201,-73.9948021,Brooklyn
320,366,1422,15K496,THE SCHOOL FOR INTERNATIONAL S,Missing,Missing,Brooklyn
321,367,1430,30Q520,MIDDLE COLLEGE HIGH SCHOOL,Missing,Missing,Queens
322,368,1431,30Q530,THE INTERNATIONAL HIGH SCHOOL,40.7435086,-73.9335532,Queens
323,369,1432,31R607,STATEN ISLAND YABC,Missing,Missing,Staten Island
324,370,1435,33K462,"SECONDARY SCHOOL FOR LAW, JOUR",Missing,Missing,Brooklyn
325,371,1436,71M539,NEST+M,Missing,Missing,Manhattan
326,377,1443,85M088,WADLEIGH SECONDARY SCHOOL MS88,Missing,Missing,Manhattan
327,378,1444,85X183,PAUL ROBESON IS183,Missing,Missing,Bronx
328,382,1474,12X191,SCHOOL TO WORK ACADEMY I.S. 19,Missing,Missing,Bronx
